distance,speed,rpm,selected_gear,fl_force_vec.y,fl_slip_vec.y,fl_z_vel,fl_spin,fr_force_vec.y,fr_slip_vec.y,fr_z_vel,fr_spin
10.0045134188814,13.5019306405627,900,2,24.4524845549293,-300.04334856299,-57.9962921667569,1.49942825352865,57.2730080867349,-5.94197586711959,-57.998912145839,1.49897142084218
20.0122457997114,9.63445476751951,1476.34505181932,-1,-82.2024347558284,-0.00348019225224,3.57283189790615,3.58272334715624,-24.0851900625513,-0.00163909510203,3.56808419590025,3.57305654462174
30.0324604581351,17.5053655936744,1871.87394935894,1,144.503282752708,-0.00075441291708,2.19292186528767,2.18359229454502,141.42072566752,0.00319732223479,2.17596662184392,2.16143446411736
40.0416997453067,28.4235106244529,3210.02362802769,1,585.26388630539,0.01548363168837,6.47678621357711,6.37609124519578,590.715035897714,0.0158172909875,6.45265723788549,6.35010342224409
50.0508354850844,33.312764578794,2824.135296224,2,206.641189413882,0.00541259104248,8.42288026577089,8.37561891752956,206.486166391575,0.00539956673257,8.42100914679338,8.37386298770654
60.0865854465939,40.5584174329227,3554.00164567045,2,410.404676461727,0.0107378837712,10.3691463835696,10.2576639995349,412.09469591506,0.01074101230962,10.3695844731432,10.2580230334968
70.1211549862971,45.7628160383684,2962.31670643783,3,304.907507695613,0.00805620626351,12.1914873458632,12.0944710507014,315.828796700092,0.00805577257753,12.2211150404197,12.1239235207512
80.1301947713999,48.4395179953831,2777.2278320616,3,97.8912484609179,0.00248739412993,12.9502992835096,12.9176090577287,98.3645408497613,0.00248955877336,12.9530216340096,12.9202804175925
90.1836971714907,53.1837165536161,3051.47589673486,3,186.216478046618,0.00474465114054,14.1810539981775,14.1137220429966,185.292310034322,0.00464923653278,14.1880556519269,14.1220573408659
100.238744703387,57.3676952978035,3293.26465433715,3,177.149231151411,0.004481005515,15.4407983038835,15.371658635016,178.832818681267,0.00443264718945,15.4530995909575,15.3846775207437
110.260135187848,61.3294069068712,3531.29577848884,3,183.605473035002,0.00463553858691,16.5539533667368,16.477135953628,180.510525742622,0.00447552476703,16.5591840352098,16.484996031983
120.295235445304,65.1738438413434,3694.55841476185,3,190.471105199661,0.0046913898397,17.6837568491915,17.6008575207857,184.768708389171,0.00467465284627,17.6567424579258,17.5742039580451
130.300834311545,68.3814491741503,3364.1472102671,3,145.811071043791,0.00362019784586,18.6921089379362,18.624720420388,150.938861186335,0.00379920576943,18.6897725541462,18.6191417875837
140.362365190086,68.8998511259422,2723.44447082217,4,16.6321115885427,0.00040148759092,19.0241114248441,19.0164403487281,17.0638564031454,0.00041094067034,19.0215666012501,19.0137150913711
150.381148451091,71.7822229469621,2948.37187833864,4,91.0345689727039,0.00223357505657,19.5978781692381,19.5541262887405,91.8966014210771,0.0022431063727,19.600537044246,19.5565883968627
160.452843202421,74.4423312970819,2976.15367129695,4,87.3055641751329,0.0021345541429,20.3587415679162,20.3152888794825,87.391725299739,0.00209970365791,20.3652238605403,20.3224618251515
170.530928459639,76.9443266363659,3153.99171842519,4,86.1363262674083,0.00208377833883,21.0843975564708,21.0404752987986,83.4971627276877,0.00200886108973,21.078998698359,21.0366561705343
180.568712358595,79.3082592877065,3286.35985677268,4,82.3496772834847,0.00197302343571,21.7537831830549,21.7108560720068,84.3394319001619,0.00203391844575,21.7518640982138,21.7076198806495
190.638146889763,81.7534480109703,3343.69872438507,4,87.4452927907308,0.00211921641905,22.426843908098,22.3793271561018,89.2191951186569,0.00213539067772,22.4341912622805,22.3862893086393
200.717943189611,84.0771606589433,3320.06481369844,4,87.129600016276,0.00213173390034,23.0856350126721,23.0364245162016,85.6044012887137,0.00201393383156,23.1014448620024,23.054934917875
210.789821392048,86.497603264871,3394.78756397425,4,92.3877604615455,0.00226166950283,23.7513189689786,23.6976038863186,92.6432041841395,0.00219171118293,23.764708182391,23.7126440952882
220.830494305809,88.7859064727066,3561.59719777863,4,89.6558914955216,0.00218102022314,24.3936041244353,24.3403834068091,90.9715430519798,0.00214610684009,24.4069137187919,24.3545208368493
230.928374196952,91.066393614489,3616.29107761636,4,92.7962688170758,0.00224731681801,25.0444200653391,24.988150061707,90.8834450318641,0.00214755283693,25.0475967053286,24.9938033771255
240.954259579017,93.2096054036985,3755.80974615568,4,89.5502720284969,0.0021419657699,25.6590906508425,25.6041325076709,88.2071750722033,0.00208996246108,25.6581522353152,25.6045303557656
250.990385381529,95.2484739661757,3775.18488658497,4,86.3322079699972,0.00204420922091,26.2430136514747,26.1893758705926,86.9055580470873,0.00206430419348,26.2395021189814,26.1853419308087
261.019439443949,97.261741323764,3851.33649271705,4,86.8387404547797,0.00205716588146,26.8056267420451,26.7504921194016,87.4877507527669,0.0020713996375,26.8057495329115,26.7502313068236
271.028192882099,99.3097221252655,3985.17856203597,4,92.9796737324108,0.0022051530316,27.3668554912914,27.3064879353315,89.2306269732389,0.00212042357254,27.3576580177654,27.299629789868
281.131463719745,101.393434802211,4157.71066323677,4,94.3218296094873,0.00220659541384,27.9482490495704,27.8865507831866,93.1751682676118,0.00224185962064,27.931599299113,27.8689659852549
291.20966111762,103.418243718368,4201.20870860091,4,90.4918823242188,0.00208956766737,28.5339810539694,28.4743793150222,94.8808121625115,0.00230003210086,28.5165905896355,28.4510062285488
301.234987688553,105.295955596915,4295.86533046327,4,89.006881897708,0.00207783770186,29.0575406637536,28.9971558294782,87.5580311970538,0.00207413257246,29.0534754373941,28.9932103422056
